23/07/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
23/07/2012 00:00,Not Recorded,0,0,XXXX,XXXX,Yes,NO,NO,NO
24/07/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
01/06/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
06/06/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,NO,NO,Yes
25/07/2012 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
27/10/2012 00:00,Not Recorded,0,0,XXXX,XXXX,Yes,NO,NO,NO
21/09/2013 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
21/09/2013 00:00,Not Recorded,0,0,XXXX,XXXX,NO,NO,NO,Yes
11/09/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
04/01/2013 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,Yes
23/04/2013 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,Yes
20/08/2013 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
22/10/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,Yes,Yes,NO,Yes
01/06/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
22/05/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
02/04/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
02/04/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
11/06/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
11/06/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
14/06/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
22/02/2013 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
25/02/2013 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
24/07/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
24/04/2013 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
18/05/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
21/05/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
29/10/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
30/10/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,Yes
19/02/2013 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,Yes,NO,NO,Yes
28/07/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
30/07/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
06/11/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,NO,Yes,Yes
20/03/2013 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,Yes,Yes,NO,Yes
08/05/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
09/05/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
10/05/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
11/05/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
24/07/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,NO,NO,Yes
15/04/2013 00:00,EMBANKMENT PLACE,51.506721,-0.1231922,530351,180311,NO,NO,NO,Yes
25/07/2013 00:00,EMBANKMENT PLACE,51.506721,-0.1231922,530351,180311,NO,Yes,NO,NO
29/05/2012 00:00,EMBANKMENT PLACE,51.506721,-0.1231922,530351,180311,NO,NO,NO,Yes
24/09/2012 00:00,NORTHUMBERLAND AVENUE,51.506721,-0.1231922,530351,180311,NO,Yes,NO,NO
27/07/2012 00:00,EMBANKMENT PLACE,51.506721,-0.1231922,530351,180311,Yes,NO,NO,NO
